cid,acname,smiles,pIC50
134164934,IC50,C[C@@H](C(=O)O)NCC1=CC(=C(C=C1OCC2=CC(=CN=C2)C#N)O[C@H]3CCC4=C(C=CC=C34)C5=CC=CC=C5F)Cl,7
134164951,IC50,C1CC2=C(C=CC=C2[C@@H]1OC3=C(C=C(C(=C3)OCC4=CC(=CN=C4)C#N)CN[C@@H](CO)C(=O)O)Cl)C5=CC=CC=C5F,7
134164909,IC50,C1CC2=C(C=CC=C2[C@H]1OC3=C(C=C(C(=C3)OCC4=CC(=CN=C4)C#N)CN[C@@H](CO)C(=O)O)Cl)C5=CC=CC=C5F,7
134164921,IC50,C[C@H]([C@@H](C(=O)O)NCC1=CC(=C(C=C1OCC2=CC(=CN=C2)C#N)O[C@H]3CCC4=C(C=CC=C34)C5=CC=CC=C5F)Cl)O,7
134165012,IC50,C[C@@H]([C@@H](C(=O)O)NCC1=CC(=C(C=C1OCC2=CC(=CN=C2)C#N)O[C@H]3CCC4=C(C=CC=C34)C5=CC=CC=C5F)Cl)O,7
139429425,IC50,COC1=NC(=CN=C1CNC[C@@H]2CCC(=O)N2)C3=CC=CC(=C3Cl)C4=C(C(=CC=C4)C5=CN=C(C(=N5)OC)CNC6CC(C6)O)Cl,9.935122839
134164876,IC50,C1CC2=C(C=CC=C2[C@H]1OC3=C(C=C(C(=C3)OCC4=CC(=CN=C4)C#N)CN[C@@H](CO)C(=O)O)Cl)C5=C(C6=C(C=C5)OCCO6)F,7
134165024,IC50,C1CC2=C(C=CC=C2[C@H]1OC3=C(C=C(C(=C3)OCC4=CC(=CN=C4)C#N)CN5CCC(CC5)F)Cl)C6=CC=CC=C6F,5.75607744
134165182,IC50,C1CC2=C(C=CC=C2[C@H]1OC3=C(C=C(C(=C3)OCC4=CN=C(C=C4)C(F)(F)F)CN5CCC(CC5)O)Cl)C6=CC=CC=C6F,4.989276135
139430196,IC50,COC1=NC(=CN=C1CNC[C@@H]2CCC(=O)N2)C3=CC=CC(=C3Cl)C4=C(C(=CC=C4)C5=CN=C(C(=N5)OC)CNC6CC(C6)C(=O)N)Cl,9.879975114
139430048,IC50,CC1(CC(C1)NCC2=NC=C(N=C2OC)C3=CC=CC(=C3Cl)C4=C(C(=CC=C4)C5=CN=C(C(=N5)OC)CNC[C@@H]6CCC(=O)N6)Cl)O,9.815392071
139429473,IC50,COC1CC(C1)NCC2=NC=C(N=C2OC)C3=CC=CC(=C3Cl)C4=C(C(=CC=C4)C5=CN=C(C(=N5)OC)CNC[C@@H]6CCC(=O)N6)Cl,9.883756067
139429429,IC50,COC1=NC(=CN=C1CNC[C@@H]2CCC(=O)N2)C3=CC=CC(=C3Cl)C4=C(C(=CC=C4)C5=CN=C(C(=N5)OC)CNC6CC(C6)CO)Cl,9.866202962
139429489,IC50,COC1=NC(=CN=C1CNC[C@@H]2CCC(=O)N2)C3=CC=CC(=C3Cl)C4=C(C(=CC=C4)C5=CN=C(C(=N5)OC)CNCC6CC(C6)O)Cl,9.923733528
139430287,IC50,COC1=NC(=CN=C1CNC[C@@H]2CCC(=O)N2)C3=CC=CC(=C3Cl)C4=C(C(=CC=C4)C5=CN=C(C(=N5)OC)CNC6CC(C6)S(=O)(=O)C)Cl,9.934254829
139430051,IC50,CC1(CC(C1)NCC2=NC=C(N=C2OC)C3=CC=CC(=C3Cl)C4=C(C(=CC=C4)C5=CN=C(C(=N5)OC)CNC6CC(C6)(C)O)Cl)O,9.676896194
139430373,IC50,COC1=NC(=CN=C1CNCC2CC(C2)O)C3=CC=CC(=C3Cl)C4=C(C(=CC=C4)C5=CN=C(C(=N5)OC)CNCC6CC(C6)O)Cl,9.90623964
139430381,IC50,COC1=NC(=CN=C1CNC2CC(C2)CO)C3=CC=CC(=C3Cl)C4=C(C(=CC=C4)C5=CN=C(C(=N5)OC)CNC6CC(C6)CO)Cl,9.63380312
134165088,IC50,C1CC[C@H]([C@@H](C1)NCC2=CC(=C(C=C2OCC3=CC(=CN=C3)C#N)O[C@H]4CCC5=C(C=CC=C45)C6=CC=CC=C6F)Cl)O,7
134165087,IC50,C1CC[C@@H]([C@H](C1)NCC2=CC(=C(C=C2OCC3=CC(=CN=C3)C#N)O[C@H]4CCC5=C(C=CC=C45)C6=CC=CC=C6F)Cl)O,7
134165027,IC50,CC(C)C[C@@H](C(=O)O)NCC1=CC(=C(C=C1OCC2=CC(=CN=C2)C#N)O[C@H]3CCC4=C(C=CC=C34)C5=CC=CC=C5F)Cl,6.522878745
139429472,IC50,CC(=O)NC1CC(C1)NCC2=NC=C(N=C2OC)C3=CC=CC(=C3Cl)C4=C(C(=CC=C4)C5=CN=C(C(=N5)OC)CNC[C@@H]6CCC(=O)N6)Cl,10.00841246
139430049,IC50,CC1(CC(C1)CNCC2=NC=C(N=C2OC)C3=CC=CC(=C3Cl)C4=C(C(=CC=C4)C5=CN=C(C(=N5)OC)CNC[C@@H]6CCC(=O)N6)Cl)O,10.03993834
139430052,IC50,COC1CC(C1)CNCC2=NC=C(N=C2OC)C3=CC=CC(=C3Cl)C4=C(C(=CC=C4)C5=CN=C(C(=N5)OC)CNC[C@@H]6CCC(=O)N6)Cl,9.570611131
139429498,IC50,COC1=NC(=CN=C1CNC[C@H]2CCC[C@@H]2O)C3=CC=CC(=C3Cl)C4=C(C(=CC=C4)C5=CN=C(C(=N5)OC)CNC[C@@H]6CCC(=O)N6)Cl,9.872363748
139430050,IC50,CC1(CC(C1)CNCC2=NC=C(N=C2OC)C3=CC=CC(=C3Cl)C4=C(C(=CC=C4)C5=CN=C(C(=N5)OC)CNCC6CC(C6)(C)O)Cl)O,9.593272892
145431504,IC50,COC1=CC=CC(=C1F)C2=C3CCC(C3=CC=C2)CCOC4=C(C=C(C(=C4)OCC5=CC(=CN=C5)C#N)CN6CCC(CC6)O)Cl,4.989276135
146234726,IC50,CN1C2=C(CNCC2)N=C1C(=O)NC3=CC=CC(=C3Cl)C4=C(C(=CC=C4)NC(=O)C5=NC6=C(N5C)CCN(C6)CCC78CCC(C7)(CC8)C(=O)O)Cl,8.301029996
135146631,IC50,CN1C2=C(CN(CC2)CC3CCC(CC3)C(=O)O)N=C1C(=O)NC4=CC=CC(=C4Cl)C5=C(C(=CC=C5)NC(=O)C6=NC7=C(N6C)CCN(C7)C8CCC(CC8)O)Cl,10
137487030,IC50,CC1=C(C=CC=C1C2=C(C(=CC=C2)OCCCN3CCC(CC3)O)C)COC4=C(C=C5CN[C@@H](CCCCNC(=O)C6=CN=CC(=C6)COC5=C4)C(=O)O)Cl,7
132085817,IC50,CC1=C(C=CC=C1N2C=C3CCNCC3=N2)C4=CC=CC=C4,7
129019494,IC50,CC1=C(C=CC=C1C2=CN3C(=N2)N=CC(=N3)CNCCO)C4=CC=CC=C4,7
129240415,IC50,C1=CC=C(C=C1)C2=C(C(=CC=C2)NC(=O)C3=NC=C(C=C3)CNCCO)C#N,8
129137996,IC50,CC1=C(C=CC=C1C2=NC3=C(O2)C=C(C(=C3)CNCCO)OC)C4=CC=CC=C4,8
132166358,IC50,C1CN(CCC1NC2CC(C2)O)C3=CC=CC(=C3C#N)C4=CC5=C(C=C4)OCCO5,6.522878745
129244879,IC50,CC1=C(C=CC=C1NC2=CC=CC3=CC(=CN=C32)CNCCO)C4=CC=CC=C4,8
138454801,IC50,CC1=C(C=CC=C1NC(=O)C2=CC(=CN3C2=NN=C3)CNCCO)C4=CC5=C(C=C4)OCCO5,7.034798299
129137987,IC50,CC1=CC(=CC2=C1OC(=N2)C3=CC=CC(=C3C)C4=CC5=C(C=C4)OCCO5)CNCCO,8
117941458,IC50,CC1=C(C=CC=C1C2=CC=CC=C2)COC3=CC=C(C=C3)CNCC4CCC(=O)N4,5.995678626
134177894,IC50,CC1=C(C=CC=C1NC(=O)C2=CC(=CN(C2=O)C)CN3CCCC[C@H]3C(=O)O)C4=CC=CC=C4,7
129244901,IC50,CC1=C(C=CC=C1NC2=NC=CC3=C(C=CN=C32)CN4CCCCC4C(=O)O)C5=CC=CC=C5,8
129137926,IC50,CC1=C(C=CC=C1C2=NC3=C(O2)C=C(C(=C3)CNCCO)OCCN4CCOCC4)C5=CC=CC=C5,8
134164967,IC50,C1CC2=C(C=CC=C2[C@H]1OC3=C(C=C(C(=C3)OCC4=CC(=CN=C4)C#N)CN[C@@H](CO)C(=O)O)Cl)C5=CC(=CC=C5)Cl,6.522878745
134164954,IC50,C1CC2=C(C=CC=C2[C@H]1OC3=C(C=C(C(=C3)OCC4=CC(=CN=C4)C#N)CN[C@H](CO)C(=O)O)Cl)C5=CC=CC=C5F,7
134164888,IC50,C1CC2=C(C=CC=C2[C@H]1OC3=C(C=C(C(=C3)OCC4=CC(=CN=C4)C#N)CN[C@@H](CO)C(=O)O)Cl)C5=CC=CC=C5,7
134164865,IC50,C1CC2=C(C=CC=C2C1OC3=C(C=C(C(=C3)OCC4=CC(=CN=C4)C#N)CN[C@@H](CO)C(=O)O)Cl)C5=CC=CC=C5,7
137496234,IC50,CC1=C(C=CC=C1C2=CC=CC=C2)COC3=C(C=C4CN[C@@H](CCCCNC(=O)CCCCOC4=C3)C(=O)O)Cl,6.522878745
134164902,IC50,C1CC2=C(C=CC=C2[C@H]1OC3=C(C=C(C(=C3)OCC4=CC(=CN=C4)C#N)CN5CC[C@H](C5)O)Cl)C6=CC=CC=C6F,7
137487061,IC50,CC1=C(C=CC=C1C2=CC=CC=C2)COC3=C(C=C4CN[C@@H](CCCCNC(=O)C5=CN=CC(=C5)C4=C3)C(=O)O)Cl,4.989276135
137487064,IC50,CC1=C(C=CC=C1C2=CC=CC=C2)COC3=C(C=C4CN[C@@H](CCCNC(=O)C5=CN=CC(=C5)COC4=C3)C(=O)O)Cl,6.522878745
137487068,IC50,CC1=C(C=CC=C1C2=CC=CC=C2)COC3=C(C=C4CN[C@@H](COCCNC(=O)C5=CN=CC(=C5)COC4=C3)C(=O)O)Cl,6.522878745
137496237,IC50,CC1=C(C=CC=C1C2=CC=CC=C2)COC3=C(C=C4CN[C@H](C(=O)NCCNC(=O)C5=CN=CC(=C5)COC4=C3)CO)Cl,6.522878745
135146509,IC50,CC1=C(C=CC=C1NC(=O)C2=NC3=C(N2C)CCN(C3)C[C@H](C)O)C4=C(C(=CC=C4)NC(=O)C5=NC6=C(N5C)CCN(C6)C)Cl,9.259637311
135146734,IC50,CC1=C(C=CC=C1NC(=O)C2=NC3=C(N2C)CCN(C3)C[C@@H](C)O)C4=C(C(=CC=C4)NC(=O)C5=NC6=C(N5C)CCN(C6)C)Cl,9.259637311
137496144,IC50,CC1=C(C=CC=C1C2=CC=CC=C2F)COC3=C(C=C4CN[C@@H](CCCCNC(=O)C5=CN=CC(=C5)COC4=C3)C(=O)O)Cl,7
137487024,IC50,CC1=C(C=CC=C1C2=CC=CC=C2)COC3=C(C=C4CN[C@@H](CCCCNC(=O)C5=CN=CC(=C5)COC4=C3)C(=O)O)Cl,7
137487026,IC50,CC1=C(C=CC=C1C2=CC=CC=C2)COC3=C(C=C4CN[C@H](CCCCNC(=O)C5=CN=CC(=C5)COC4=C3)C(=O)O)Cl,7
137496221,IC50,C1CCNC(=O)C2=CN=CC(=C2)COC3=CC(=C(C=C3CN[C@@H](C1)C(=O)O)Cl)O[C@H]4CCC5=C(C=CC=C45)C6=CC=CC=C6F,6.522878745
137496236,IC50,CC1=C(C=CC=C1C2=C(C(=CC=C2)OC)F)COC3=C(C=C4CN[C@@H](CCCCNC(=O)C5=CN=CC(=C5)COC4=C3)C(=O)O)Cl,7
137487060,IC50,CC1=C(C=CC=C1C2=CC=CC=C2)COC3=C(C=C4CN[C@@H](CCCCNC(=O)C5=CN=CC(=C5)COC4=C3)CC(=O)O)Cl,6.522878745
137496239,IC50,CC1=C(C=CC=C1C2=CC3=C(C=C2)OCCO3)COC4=C(C=C5CN[C@@H](CCCCNC(=O)C6=CN=CC(=C6)COC5=C4)C(=O)O)Cl,7
138616951,IC50,CCOC1=CC(=C(C=C1CN[C@@H](CO)C(=O)O)Cl)NC2CCC3=C(C=CC=C23)C4=C(C(=CC=C4)OCCCN5CCC(CC5)F)C,6.597738618
137487027,IC50,C1CCNC(=O)C2=CN=CC(=C2)COC3=CC(=C(C=C3CN[C@@H](C1)C(=O)O)Cl)O[C@H]4CCC5=C(C=CC=C45)C6=C(C7=C(C=C6)OCCO7)F,7
137496268,IC50,CC1=C(C=CC=C1C2=C(C(=CC=C2)OCCCCl)C)COC3=C(C=C4CN[C@@H](CCCCNC(=O)C5=CN=CC(=C5)COC4=C3)C(=O)O)Cl,4.989276135
135146514,IC50,CN1CCC2=C(C1)N=C(N2C)C(=O)NC3=CC=CC(=C3Cl)C4=C(C(=CC=C4)NC(=O)C5=NC6=C(N5C)CCN(C6)CCC7CCC(CC7)C(=O)O)Cl,10
146234759,IC50,CN1C2=C(CNCC2)N=C1C(=O)NC3=CC=CC(=C3C#N)C4=C(C(=CC=C4)NC(=O)C5=NC6=C(N5C)CCN(C6)CCC78CCC(C7)(CC8)C(=O)O)Cl,8.301029996
146234719,IC50,CN1CCC2=C(C1)N=C(N2C)C(=O)NC3=CC=CC(=C3Cl)C4=C(C(=CC=C4)NC(=O)C5=NC6=C(N5C)CCN(C6)CCC78CCC(C7)(CC8)C(=O)O)Cl,8.301029996
135146675,IC50,CN1C2=C(CN(CC2)CCO)N=C1C(=O)NC3=CC=CC(=C3Cl)C4=C(C(=CC=C4)NC(=O)C5=NC6=C(N5C)CCN(C6)CC78CCC(C7)(CC8)C(=O)O)Cl,8.823908741
146234737,IC50,CC1=C(C=CC=C1NC(=O)C2=NC3=C(N2C)CCNC3)C4=C(C(=CC=C4)NC(=O)C5=NC6=C(N5C)CCN(C6)CCC78CCC(C7)(CC8)C(=O)O)Cl,8.301029996
138617055,IC50,CCOC1=CC(=C(C=C1CNC[C@@H]2CCC(=O)N2)Cl)NC3CCC4=C(C=CC=C34)C5=C(C(=CC=C5)OCCCN6CCC(CC6)(C)F)C,6.597738618
135148317,IC50,CC1=C(C=CC=C1C2=NC3=CC(=CC(=C3O2)C#N)CN4CC[C@@H](C4)C(=O)O)C5=C(C(=CC=C5)NC(=O)C6=NC7=C(N6C)CCN(C7)C8CC(C8)(F)F)C,7.259637311
146234749,IC50,CN1C2=C(CN(CC2)CCC34CCC(C3)(CC4)C(=O)O)N=C1C(=O)NC5=CC=CC(=C5Cl)C6=C(C(=CC=C6)NC(=O)C7=NC8=C(N7C)CCN(C8)CC(=O)O)Cl,8.301029996
146234751,IC50,CN1CCC2=C(C1)N=C(N2C)C(=O)NC3=CC=CC(=C3C#N)C4=C(C(=CC=C4)NC(=O)C5=NC6=C(N5C)CCN(C6)CCC78CCC(C7)(CC8)C(=O)O)Cl,8.301029996
146234713,IC50,CCN1CCC2=C(C1)N=C(N2C)C(=O)NC3=CC=CC(=C3Cl)C4=C(C(=CC=C4)NC(=O)C5=NC6=C(N5C)CCN(C6)CCC78CCC(C7)(CC8)C(=O)O)Cl,8.301029996
135146593,IC50,C[C@@H](CN1CCC2=C(C1)N=C(N2C)C(=O)NC3=CC=CC(=C3Cl)C4=C(C(=CC=C4)NC(=O)C5=NC6=C(N5C)CCN(C6)CC78CCC(C7)(CC8)C(=O)O)Cl)O,8.795880017
146234770,IC50,CN1C2=C(CN(CC2)CCC34CCC(C3)(CC4)C(=O)O)N=C1C(=O)NC5=CC=CC(=C5Cl)C6=C(C(=CC=C6)NC(=O)C7=NC8=C(N7C)CCN(C8)CCO)Cl,8.301029996
146234720,IC50,CC1=C(C=CC=C1NC(=O)C2=NC3=C(N2C)CCN(C3)CCC45CCC(C4)(CC5)C(=O)O)C6=C(C(=CC=C6)NC(=O)C7=NC8=C(N7C)CCN(C8)C)Cl,8.301029996
146234717,IC50,CC1=C(C=CC=C1NC(=O)C2=NC3=C(N2C)CCN(C3)C)C4=C(C(=CC=C4)NC(=O)C5=NC6=C(N5C)CCN(C6)CCC78CCC(C7)(CC8)C(=O)O)Cl,8.301029996
146234755,IC50,CC1=C(C=CC=C1NC(=O)C2=NC3=C(N2C)CCNC3)C4=C(C(=CC=C4)NC(=O)C5=NC6=C(N5C)CCN(C6)CCC78CCC(C7)(CC8)C(=O)O)C,8.301029996
139529828,IC50,CC1=C(C=CC=C1C2=NC3=CC(=CC(=C3O2)C#N)CN4CC[C@H](C4)C(=O)O)C5=C(C(=CC=C5)NC6=NC(=NC7=C6N=CC(=C7)CN8CC[C@H](C8)O)C(F)F)C,8
139529829,IC50,CC1=C(C=CC=C1C2=NC3=CC(=CC(=C3O2)C#N)CN4CC[C@H](C4)C(=O)O)C5=C(C(=CC=C5)NC6=NC(=NC7=C6N=CC(=C7)CN8CC[C@H](C8)O)C)C,8
146234733,IC50,CN1C2=C(CN(CC2)CCC34CCC(C3)(CC4)C(=O)O)N=C1C(=O)NC5=CC=CC(=C5Cl)C6=C(C(=CC=C6)NC(=O)C7=NC8=C(N7C)CCN(C8)CCO)C#N,8.301029996
137496247,IC50,CC1=C(C=CC=C1C2=C(C(=CC=C2)OCCCN3CC(C3)O)C)COC4=C(C=C5CN[C@@H](CCCCNC(=O)C6=CN=CC(=C6)COC5=C4)C(=O)O)Cl,7
146234763,IC50,CC(C)N1CCC2=C(C1)N=C(N2C)C(=O)NC3=CC=CC(=C3Cl)C4=C(C(=CC=C4)NC(=O)C5=NC6=C(N5C)CCN(C6)CCC78CCC(C7)(CC8)C(=O)O)Cl,8.301029996
146234734,IC50,C[C@H](CN1CCC2=C(C1)N=C(N2C)C(=O)NC3=CC=CC(=C3Cl)C4=C(C(=CC=C4)NC(=O)C5=NC6=C(N5C)CCN(C6)CCC78CCC(C7)(CC8)C(=O)O)Cl)O,8.301029996
146234783,IC50,CN1C2=C(CN(CC2)CCCO)N=C1C(=O)NC3=CC=CC(=C3Cl)C4=C(C(=CC=C4)NC(=O)C5=NC6=C(N5C)CCN(C6)CCC78CCC(C7)(CC8)C(=O)O)Cl,8.301029996
146234775,IC50,CN1C2=C(CN(CC2)CCC34CCC(C3)(CC4)C(=O)O)N=C1C(=O)NC5=CC=CC(=C5Cl)C6=C(C(=CC=C6)NC(=O)C7=NC8=C(N7C)CCN(C8)C(CO)CO)Cl,8.301029996
146234741,IC50,CN1C2=C(CN(CC2)CCC34CCC(C3)(CC4)C(=O)O)N=C1C(=O)NC5=CC=CC(=C5Cl)C6=C(C(=CC=C6)NC(=O)C7=NC8=C(N7C)CCN(C8)C[C@@H](CO)O)Cl,8.301029996
146234777,IC50,CN1C2=C(CN(CC2)CCC34CCC(C3)(CC4)C(=O)O)N=C1C(=O)NC5=CC=CC(=C5Cl)C6=C(C(=CC=C6)NC(=O)C7=NC8=C(N7C)CCN(C8)C[C@H](CO)O)Cl,8.124938737
146234712,IC50,CC1=C(C=CC=C1NC(=O)C2=NC3=C(N2C)CCN(C3)CCC45CCC(C4)(CC5)C(=O)O)C6=C(C(=CC=C6)NC(=O)C7=NC8=C(N7C)CCN(C8)CCO)Cl,8.301029996
146234714,IC50,CC1=C(C=CC=C1NC(=O)C2=NC3=C(N2C)CCN(C3)CCO)C4=C(C(=CC=C4)NC(=O)C5=NC6=C(N5C)CCN(C6)CCC78CCC(C7)(CC8)C(=O)O)Cl,8.301029996
139529795,IC50,CC1=C(C=CC=C1C2=NC3=CC(=CC(=C3O2)C#N)CN4CC[C@@](C4)(C)C(=O)O)C5=C(C(=CC=C5)NC6=NC(=NC7=C6N=CC(=C7)CN8CC[C@H](C8)O)C(F)F)C,8
139529750,IC50,CC1=C(C=CC=C1C2=NC3=CC(=CC(=C3O2)C#N)CN4CCC(CC4)C(=O)O)C5=C(C(=CC=C5)NC6=NC(=NC7=C6N=CC(=C7)CN8CC[C@H](C8)O)C(F)F)C,8
139529763,IC50,CC1=C(C=CC=C1C2=NC3=CC(=CC(=C3O2)C#N)CN4CC[C@H](C4)C(=O)O)C5=C(C(=CC=C5)NC6=NC(=NC7=C6N=CC(=C7)CN8CC[C@@](C8)(C)O)C)C,8
146234788,IC50,CN1C2=C(CN(CC2)CCC34CCC(C3)(CC4)C(=O)O)N=C1C(=O)NC5=CC=CC(=C5Cl)C6=C(C(=CC=C6)NC(=O)C7=NC8=C(N7C)CCN(C8)CC9=CC=NN9)Cl,8.301029996
146234790,IC50,CN1C2=C(CN(CC2)CCC34CCC(C3)(CC4)C(=O)O)N=C1C(=O)NC5=CC=CC(=C5Cl)C6=C(C(=CC=C6)NC(=O)C7=NC8=C(N7C)CCN(C8)C9CCC9)Cl,8.301029996
146234780,IC50,CN1C2=C(CN(CC2)CCCC(=O)O)N=C1C(=O)NC3=CC=CC(=C3Cl)C4=C(C(=CC=C4)NC(=O)C5=NC6=C(N5C)CCN(C6)CCC78CCC(C7)(CC8)C(=O)O)Cl,8.301029996
146234742,IC50,C[C@H](CN1CCC2=C(C1)N=C(N2C)C(=O)NC3=CC=CC(=C3C#N)C4=C(C(=CC=C4)NC(=O)C5=NC6=C(N5C)CCN(C6)CCC78CCC(C7)(CC8)C(=O)O)Cl)O,8.301029996
137496246,IC50,CC1=C(C=CC=C1C2=C(C(=CC=C2)OCCCN3CC[C@H](C3)O)C)COC4=C(C=C5CN[C@@H](CCCCNC(=O)C6=CN=CC(=C6)COC5=C4)C(=O)O)Cl,7
146234766,IC50,CC1=C(C=CC=C1NC(=O)C2=NC3=C(N2C)CCN(C3)C[C@H](C)O)C4=C(C(=CC=C4)NC(=O)C5=NC6=C(N5C)CCN(C6)CCC78CCC(C7)(CC8)C(=O)O)Cl,8.301029996
146234730,IC50,CC1=C(C=CC=C1NC(=O)C2=NC3=C(N2C)CCN(C3)C[C@@H](C)O)C4=C(C(=CC=C4)NC(=O)C5=NC6=C(N5C)CCN(C6)CCC78CCC(C7)(CC8)C(=O)O)Cl,8.301029996
146234795,IC50,CC1=C(C=CC=C1NC(=O)C2=NC3=C(N2C)CCN(C3)CCC45CCC(C4)(CC5)C(=O)O)C6=C(C(=CC=C6)NC(=O)C7=NC8=C(N7C)CCN(C8)C[C@H](C)O)Cl,8.301029996
146234779,IC50,CC1=C(C=CC=C1NC(=O)C2=NC3=C(N2C)CCN(C3)CCC45CCC(C4)(CC5)C(=O)O)C6=C(C(=CC=C6)NC(=O)C7=NC8=C(N7C)CCN(C8)C[C@@H](C)O)Cl,8.301029996
146234771,IC50,CC1=C(C=CC=C1NC(=O)C2=NC3=C(N2C)CCN(C3)CCC45CCC(C4)(CC5)C(=O)O)C6=C(C(=CC=C6)NC(=O)C7=NC8=C(N7C)CCN(C8)CCO)C,8.301029996
146234725,IC50,CN1C2=C(CN(CC2)CCC34CCC(C3)(CC4)C(=O)O)N=C1C(=O)NC5=CC=CC(=C5Cl)C6=C(C(=CC=C6)NC(=O)C7=NC8=C(N7C)CCN(C8)CC9=CC(=NN9)C(=O)O)Cl,8.301029996
